Word,Count,achieve,adverb,affect,article,assent,auxverb,bio,body,cause,certain,cogmech,conj,discrep,excl,funct,future,hear,i,incl,inhib,insight,ipron,money,motion,negate,negemo,number,past,percept,posemo,ppron,preps,present,pronoun,quant,relativ,sad,see,shehe,social,space,tentat,they,time,verb,we,work,you,
need,8,0,0,0,40.0,0,0,0,0,0,0,5.517241379310345,0,0,0,0,0,0,0,4.878048780487805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.666666666666666,0,0,0,0,0,0,0,0,0,
no,8,0,0,0,0,0,0,0,0,0,1.7467248908296944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.095238095238095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
not,7,0,0,0,0,0,0,0,0,0,1.5283842794759825,4.827586206896552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.333333333333336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.888888888888886,0,0,0,
now,2,0,0,0,0,0,0,0,0,0,0.4366812227074236,0,0,0,0,8.333333333333334,0,0,6.451612903225806,0,1.7391304347826086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
of,6,0,0,0,0,0,0,0,0,0,1.3100436681222707,0,0,0,0,0,4.615384615384615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
office,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
okay,1,0,0,0,0,0,0,0,0,0,0,0,0,1.5151515151515151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.333333333333336,0,0,0,0,0,0,0,0,0,0,3.5714285714285716,
on,36,0,0,0,0,0,0,0,0,0,7.860262008733624,0,51.42857142857143,0,0,0,27.692307692307693,0,0,0,31.304347826086957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
one,1,0,0,0,0,0,0,0,0,0,0.2183406113537118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
only,1,0,0,0,0,0,0,0,0,0,0.2183406113537118,0,0,0,0,0,0,0,3.225806451612903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
or,1,0,0,0,0,0,2.0,0,0,0,0.2183406113537118,0.6896551724137931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,5.555555555555555,0,0,0,
other,2,0,0,0,0,0,0,0,0,0,0.4366812227074236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7391304347826086,0,0,0,0,7.142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,
our,2,0,0,0,0,0,0,0,0,0,0.4366812227074236,0,0,0,0,0,0,0,0,0,0,0,1.7391304347826086,0,0,0,0,0,0,0,2.2988505747126435,1.7391304347826086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.22222222222222,0,
page,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.814814814814815,0,0,0,0,
please,5,0,0,0,0,0,0,0,0,0,0,0,0,7.575757575757576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.857142857142858,
